label	weight_bm25	weight_rm3	weight_dense	rrf_k	bm25_topk	rm3_topk	dense_topk	map	Rprec	P_10	bpref	recip_rank
b0.30-r0.15-d0.55	0.30	0.15	0.55	60	250	250	250	0.2544	0.2951	0.4960	0.3453	0.7560
b0.35-r0.10-d0.55	0.35	0.10	0.55	60	250	250	250	0.2541	0.2942	0.4980	0.3451	0.7576
b0.75-r0.20-d0.05	0.75	0.20	0.05	60	250	250	250	0.2540	0.2851	0.4380	0.3232	0.6881
b0.80-r0.15-d0.05	0.80	0.15	0.05	60	250	250	250	0.2539	0.2857	0.4400	0.3230	0.6881
b0.40-r0.05-d0.55	0.40	0.05	0.55	60	250	250	250	0.2535	0.2944	0.4940	0.3452	0.7678
b0.85-r0.10-d0.05	0.85	0.10	0.05	60	250	250	250	0.2533	0.2847	0.4380	0.3227	0.6892
b0.90-r0.05-d0.05	0.90	0.05	0.05	60	250	250	250	0.2525	0.2835	0.4380	0.3226	0.6882
b0.05-r0.35-d0.60	0.05	0.35	0.60	60	250	250	250	0.2479	0.2925	0.4940	0.3470	0.7718
b0.10-r0.30-d0.60	0.10	0.30	0.60	60	250	250	250	0.2473	0.2924	0.4900	0.3467	0.7666
b0.15-r0.25-d0.60	0.15	0.25	0.60	60	250	250	250	0.2469	0.2913	0.4920	0.3461	0.7654
b0.20-r0.20-d0.60	0.20	0.20	0.60	60	250	250	250	0.2464	0.2915	0.4920	0.3456	0.7635
b0.25-r0.15-d0.60	0.25	0.15	0.60	60	250	250	250	0.2461	0.2903	0.4940	0.3456	0.7544
b0.30-r0.10-d0.60	0.30	0.10	0.60	60	250	250	250	0.2461	0.2896	0.4940	0.3454	0.7645
b0.35-r0.05-d0.60	0.35	0.05	0.60	60	250	250	250	0.2457	0.2887	0.4920	0.3452	0.7628
b0.05-r0.30-d0.65	0.05	0.30	0.65	60	250	250	250	0.2390	0.2823	0.4940	0.3462	0.7721
b0.10-r0.25-d0.65	0.10	0.25	0.65	60	250	250	250	0.2384	0.2811	0.4940	0.3454	0.7652
b0.15-r0.20-d0.65	0.15	0.20	0.65	60	250	250	250	0.2379	0.2804	0.4940	0.3450	0.7552
b0.20-r0.15-d0.65	0.20	0.15	0.65	60	250	250	250	0.2374	0.2797	0.4920	0.3444	0.7652
b0.25-r0.10-d0.65	0.25	0.10	0.65	60	250	250	250	0.2373	0.2797	0.4920	0.3443	0.7619
b0.30-r0.05-d0.65	0.30	0.05	0.65	60	250	250	250	0.2366	0.2788	0.4920	0.3439	0.7526
b0.10-r0.20-d0.70	0.10	0.20	0.70	60	250	250	250	0.2301	0.2685	0.4760	0.3462	0.7662
b0.05-r0.25-d0.70	0.05	0.25	0.70	60	250	250	250	0.2301	0.2679	0.4820	0.3464	0.7663
b0.15-r0.15-d0.70	0.15	0.15	0.70	60	250	250	250	0.2297	0.2676	0.4720	0.3434	0.7695
b0.20-r0.10-d0.70	0.20	0.10	0.70	60	250	250	250	0.2292	0.2658	0.4740	0.3427	0.7650
b0.25-r0.05-d0.70	0.25	0.05	0.70	60	250	250	250	0.2290	0.2657	0.4740	0.3424	0.7640
b0.05-r0.20-d0.75	0.05	0.20	0.75	60	250	250	250	0.2239	0.2583	0.4640	0.3456	0.7730
b0.10-r0.15-d0.75	0.10	0.15	0.75	60	250	250	250	0.2234	0.2584	0.4660	0.3451	0.7629
b0.15-r0.10-d0.75	0.15	0.10	0.75	60	250	250	250	0.2230	0.2570	0.4680	0.3443	0.7597
b0.20-r0.05-d0.75	0.20	0.05	0.75	60	250	250	250	0.2227	0.2567	0.4620	0.3438	0.7632
b0.05-r0.15-d0.80	0.05	0.15	0.80	60	250	250	250	0.2175	0.2555	0.4520	0.3445	0.7776
b0.10-r0.10-d0.80	0.10	0.10	0.80	60	250	250	250	0.2170	0.2549	0.4500	0.3437	0.7643
b0.15-r0.05-d0.80	0.15	0.05	0.80	60	250	250	250	0.2169	0.2546	0.4500	0.3432	0.7610
b0.05-r0.10-d0.85	0.05	0.10	0.85	60	250	250	250	0.2114	0.2533	0.4380	0.3420	0.7580
b0.10-r0.05-d0.85	0.10	0.05	0.85	60	250	250	250	0.2112	0.2530	0.4360	0.3409	0.7504
b0.05-r0.05-d0.90	0.05	0.05	0.90	60	250	250	250	0.2066	0.2473	0.4220	0.3406	0.7530
